all_cosine	all_spearman	all_direction	responsive20_cosine	responsive20_spearman	responsive20_direction	topk_recall	topk_direction	response_auroc_abs_pred	pred_abs	real_abs	responsive20_pred_abs	bottom50_pred_abs	mode	perturbation	target_genes	n_shared_sites	graph_abs	latent_abs	residual_abs	attention_mean
0.757151186466217	0.7281036999553778	0.813953488372093	0.745538592338562	0.8333333333333333	0.7777777777777778	0.4444444444444444	1.0	0.7581699346405228	0.05594663321971893	0.6595858335494995	0.08198034763336182	0.039248090237379074	true	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	43	0.000929349975194782	0.02172044850885868	0.034075818955898285	0.0025602406822144985
0.612410306930542	0.6830079525880824	0.7906976744186046	0.615202784538269	0.75	0.7777777777777778	0.5555555555555556	0.8	0.8137254901960784	0.0005707133677788079	0.6595858335494995	0.0011510052718222141	0.00032241566805168986	zero	vorinostat		43	0.0005707133677788079	0.0	0.0	0.0015232012374326587
0.612410306930542	0.6830079525880824	0.7906976744186046	0.615202784538269	0.75	0.7777777777777778	0.5555555555555556	0.8	0.8137254901960784	0.0005707133677788079	0.6595858335494995	0.0011510052718222141	0.00032241566805168986	shuffled	vorinostat	PSMB5	43	0.0005707133677788079	0.0	0.0	0.0015232012374326587
0.4239409863948822	0.6565358733912887	0.8055555555555556	0.7603954076766968	0.8783100656536799	0.75	0.5	1.0	0.6785714285714286	0.0004994255723431706	0.5160632729530334	0.00046573157305829227	0.00024287529231514782	true	curcumin		36	0.0004994255723431706	0.0	0.0	0.0013885210501030087
0.4239409863948822	0.6565358733912887	0.8055555555555556	0.7603954076766968	0.8783100656536799	0.75	0.5	1.0	0.6785714285714286	0.0004994255723431706	0.5160632729530334	0.00046573157305829227	0.00024287529231514782	zero	curcumin		36	0.0004994255723431706	0.0	0.0	0.0013885210501030087
0.6679219603538513	0.7276241044842647	0.6944444444444444	0.9233600497245789	0.8783100656536799	0.875	0.375	1.0	0.6339285714285714	0.05989156663417816	0.5160632729530334	0.06837324053049088	0.043820399791002274	shuffled	curcumin	PIK3CA;PIK3CB;MTOR	36	0.0008069039322435856	0.027896156534552574	0.031769782304763794	0.0023240738082677126
0.7429915070533752	0.777553757869742	0.75	0.8092070817947388	0.6182840223353118	1.0	0.42857142857142855	1.0	0.7942857142857143	0.04561382532119751	0.8347915410995483	0.08689609915018082	0.030589276924729347	true	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	32	0.000789875746704638	0.01855689287185669	0.026628732681274414	0.0024073035456240177
0.5411092638969421	0.6730241253259324	0.75	0.5704161524772644	0.7455777916396408	0.8571428571428571	0.42857142857142855	1.0	0.76	0.0005273622809909284	0.8347915410995483	0.0014748123940080404	0.0002647458459250629	zero	vorinostat		32	0.0005273622809909284	0.0	0.0	0.0014509398024529219
0.5411092638969421	0.6730241253259324	0.75	0.5704161524772644	0.7455777916396408	0.8571428571428571	0.42857142857142855	1.0	0.76	0.0005273622809909284	0.8347915410995483	0.0014748123940080404	0.0002647458459250629	shuffled	vorinostat	PSMB5	32	0.0005273622809909284	0.0	0.0	0.0014509398024529219
0.5939112305641174	0.5308698150604607	0.7777777777777778	0.6523158550262451	0.6107893935757621	1.0	0.625	1.0	0.8348214285714286	0.00045170102384872735	0.4760721027851105	0.0011927285231649876	0.0002283680805703625	true	curcumin		36	0.00045170102384872735	0.0	0.0	0.0011678894516080618
0.5939112305641174	0.5308698150604607	0.7777777777777778	0.6523158550262451	0.6107893935757621	1.0	0.625	1.0	0.8348214285714286	0.00045170102384872735	0.4760721027851105	0.0011927285231649876	0.0002283680805703625	zero	curcumin		36	0.00045170102384872735	0.0	0.0	0.0011678894516080618
0.6961193680763245	0.5348613174293363	0.7777777777777778	0.8725813627243042	0.7545045450053531	1.0	0.5	1.0	0.71875	0.035885799676179886	0.4760721027851105	0.05954040586948395	0.026979345828294754	shuffled	curcumin	ABL1;KIT	36	0.0008465712307952344	0.015467684715986252	0.020051540806889534	0.002900277264416218
0.5240532159805298	0.46919466555428546	0.6944444444444444	0.634431779384613	0.19047619047619052	0.875	0.5	1.0	0.7098214285714286	0.036933962255716324	0.5851035118103027	0.06428439170122147	0.026990527287125587	true	vorinostat	HDAC1;HDAC2;HDAC3;HDAC6	36	0.0006812864448875189	0.01409829966723919	0.023315802216529846	0.0019455309957265854
0.4258137047290802	0.3915535065726076	0.7222222222222222	0.4757132828235626	0.19047619047619052	0.875	0.5	1.0	0.65625	0.00045170102384872735	0.5851035118103027	0.0010592718608677387	0.0002666492073331028	zero	vorinostat		36	0.00045170102384872735	0.0	0.0	0.0011678894516080618
0.4258137047290802	0.3915535065726076	0.7222222222222222	0.4757132828235626	0.19047619047619052	0.875	0.5	1.0	0.65625	0.00045170102384872735	0.5851035118103027	0.0010592718608677387	0.0002666492073331028	shuffled	vorinostat	PSMB5	36	0.00045170102384872735	0.0	0.0	0.0011678894516080618
