rank	split_69001	split_69002	split_69003	split_69004	split_69005
380	__Il17ra	__Aarsd1	ELOF1	__Snx20	AC092821.3
381	EIF2S3	ABCB7	__Nop58	HPRT1	OSTF1
382	TSC22D4	CAPNS1	__Zcchc17	CCDC6	PTPN11
383	TRAPPC6A	RASAL3	FNIP1	CDC123	__Pdcd6ip
384	__Ndufs8	SPCS3	HRH2	__Neil3	__Rab7
385	__Rbck1	TMEM256	__Ptpn22	CLASP2	FNIP1
386	__Pim2	CSNK1G1	__Crlf2	__Saraf	LNPEP
387	__Bcl2l11	CDC27	ABCB7	ATP2B4	__Ankib1
388	TRERF1	__Rpn1	__Dnajc3	__Rala	__Itgb1
389	RPS6KA1	TENT2	PCBP3	UPF2	DSTN
390	GGCT	MRPL16	ANKRD10	CAPRIN1	SENP6
391	FIBP	__Zdhhc18	__Nucb1	INTS6	AFTPH
392	KDM5A	__Txnip	HCFC1R1	FAM133B	PCBP3
393	CENPX	__Lyar	__AU020206	__Rbm6	SDF2L1
394	IMP3	__Rcc2	__Ap2b1	__Ap2b1	CCDC18
395	__Lsm12	__Il17ra	TRIP12	__Matr3	DKC1
396	LRPPRC	__0610010K14Rik	ST6GAL1	__Jaml	PJA2
397	SELENOF	__Eif3l	PSD4	LITAF	__Psmc5
398	TTF1	__Pfdn2	DAP3	__Ddost	AURKA
399	__Hells	__Stag2	__Tgm2	GRK6	ITPR1
400	__Pin1	IMP4	SDF4	NDUFA10	__Itpr1
401	GSPT1	PRPF38B	MRPS15	HSPH1	__Psmd11
402	PPIE	GGCT	HSBP1	__Kmt2c	__1110004F10Rik
403	__Lsm3	__Lsm3	__Afg3l2	CCDC18-AS1	CISD1
404	PPP6R1	RAB8A	__Kdelr1	__Acp1	__Zfp106
405	__Dcun1d5	DYM	HTT	__Elovl5	SP140
406	ABCB7	__E2f1	__Scd1	__Ndufa5	SPPL3
